Question,Answer
i must not use this finger until the cut heals.,it might take a day or two to heal.
do you smell that?,"oh, yes."
"oh, yes.",i can't stand cigarette smoke.
i can't stand cigarette smoke.,it smells so bad.
it smells so bad.,one cigarette stinks up the whole sidewalk.
one cigarette stinks up the whole sidewalk.,smokers think they are so cool.
smokers think they are so cool.,they are so weak.
they are so weak.,a little cigarette controls them.
a little cigarette controls them.,they look so stupid taking a puff.
they look so stupid taking a puff.,and then they blow smoke out of their mouth.
and then they blow smoke out of their mouth.,they think it's cool.
they think it's cool.,cigarettes stink.
do you have a cold?,"yes, i do."
"yes, i do.",how did you get it?
how did you get it?,my sister had a cold. she gave it to me.
my sister had a cold. she gave it to me.,have you taken anything for your cold?
have you taken anything for your cold?,"no, i just blow my nose a lot."
"no, i just blow my nose a lot.",your nose is stopped up?
your nose is stopped up?,yes. i have to breathe through my mouth.
yes. i have to breathe through my mouth.,have you tried nose drops?
have you tried nose drops?,"no, i don't like nose drops."
"no, i don't like nose drops.",they work great.
they work great.,i don't care. i don't like to put drops in my nose.
"would you put suntan lotion on my back, please?",sure.
sure.,thank you.
thank you.,you shouldn't lie in the sun for too long.
you shouldn't lie in the sun for too long.,i want to get a tan. i don't want to look so pale.
i want to get a tan. i don't want to look so pale.,what's wrong with looking pale?
what's wrong with looking pale?,people think you might be sick.
people think you might be sick.,who thinks that?
who thinks that?,i don't know.
i don't know.,it's better to be pale than to have skin cancer.
it's better to be pale than to have skin cancer.,i know that.
i know that.,so why are you arguing with me? don't lie in the sun too long!
i can't quit smoking.,of course you can.
of course you can.,i don't have enough will power.
i don't have enough will power.,of course you do.
of course you do.,i wish i had never started.
i wish i had never started.,so does every smoker.
so does every smoker.,i've tried to quit so many times.
i've tried to quit so many times.,so has everyone else.
so has everyone else.,nothing seems to work.
nothing seems to work.,"all it takes is will power, and you have it."
"all it takes is will power, and you have it.",then why can't i quit?
then why can't i quit?,you have to believe in yourself.
my back is killing me.,what did you do?
what did you do?,i got out of my car.
i got out of my car.,that's it?
that's it?,i injured my back one time just by sneezing.
i injured my back one time just by sneezing.,you should see a doctor.
you should see a doctor.,my doctor said i need surgery.
my doctor said i need surgery.,so?
so?,"so, forget it."
"so, forget it.",you don't have the money?
you don't have the money?,i have no insurance.
i have no insurance.,maybe a back rub would help.
my brother smokes three packs a day.,three packs of what?
three packs of what?,"cigarettes, of course."
"cigarettes, of course.",how can he do that?
how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
"when he is almost finished with one cigarette, he uses it to light another.",he's a chain smoker.
he's a chain smoker.,he's been a chain smoker for 30 years.
he's been a chain smoker for 30 years.,that's unbelievable. can he still breathe?
that's unbelievable. can he still breathe?,"he can, but the people around him can't."
"he can, but the people around him can't.",how can he still be alive?
how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
his doctor says his heart and lungs are strong and healthy.,maybe i should start smoking.
i hate brushing my teeth.,it's such a chore.
it's such a chore.,"brush, brush. spit, spit."
"brush, brush. spit, spit.",what did they do in the old days?
what did they do in the old days?,they brushed with their fingers.
they brushed with their fingers.,they also ate with their fingers!
they also ate with their fingers!,why do they call it the good old days?
why do they call it the good old days?,maybe because they didn't have to brush and floss.
maybe because they didn't have to brush and floss.,who invented flossing?
who invented flossing?,"a dentist, i'm sure."
"a dentist, i'm sure.",i hate flossing more than brushing!
i hate flossing more than brushing!,i can't wait till all my teeth fall out.
let's stop for a while. i need a break and some water.,this trail is hard to climb.
this trail is hard to climb.,especially on a hot day like this.
especially on a hot day like this.,i can't believe we haven't seen any animals.
i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
thank goodness! i don't want to see any wild animals.,all we've seen so far is a couple of lizards.
all we've seen so far is a couple of lizards.,"we're hiking to lose weight, not to see goats and bears."
"we're hiking to lose weight, not to see goats and bears.",i bet i've lost a couple of pounds already.
i bet i've lost a couple of pounds already.,all you've lost is some sweat.
all you've lost is some sweat.,i haven't even lost one pound of fat?
i haven't even lost one pound of fat?,"if you want to lose fat, you've got to do this hike every day."
"if you want to lose fat, you've got to do this hike every day.","okay, but let's hike in town. at least there are cats and dogs to see."
"oh no, another pimple on my face.",pimples suck.
pimples suck.,it seems like i get a new pimple almost every day.
it seems like i get a new pimple almost every day.,maybe it's something in your diet.
maybe it's something in your diet.,"no, i eat the same things day after day."
"no, i eat the same things day after day.",then maybe it's in your genes.
then maybe it's in your genes.,you might be right.
you might be right.,do pimples run in your family?
do pimples run in your family?,not that i've noticed.
not that i've noticed.,"well, maybe it's from the pollution in the air."
"well, maybe it's from the pollution in the air.","whatever the cause, i hate seeing them on my face."
"whatever the cause, i hate seeing them on my face.","well, on the bright side, they're fun to pop."
do you believe everything you hear?,i don't believe anything i don't see with my own eyes.
i don't believe anything i don't see with my own eyes.,you can't believe what you hear on tv or radio.
you can't believe what you hear on tv or radio.,you can't believe what you read in the newspapers.
you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
everyone tells you a different story about the same thing.,three different people will give you three different stories.
three different people will give you three different stories.,and the government will give you a fourth story.
and the government will give you a fourth story.,"yes, like the government says not to worry about the swine flu."
"yes, like the government says not to worry about the swine flu.",but the swine flu just killed 20 people in mexico.
but the swine flu just killed 20 people in mexico.,the government says we have nothing to worry about.
the government says we have nothing to worry about.,then why are some schools telling the kids to stay home?
then why are some schools telling the kids to stay home?,"the government says to wash our hands frequently, and we'll all be okay."
don't pick your nose.,i wasn't picking my nose.
i wasn't picking my nose.,what were you doing?
what were you doing?,i was scratching my nose.
i was scratching my nose.,i think i know the difference between picking and scratching.
i think i know the difference between picking and scratching.,"okay, mom, maybe i was picking it a little bit."
"okay, mom, maybe i was picking it a little bit.",use a tissue next time.
use a tissue next time.,i didn't have a tissue.
i didn't have a tissue.,then wait till you find a tissue.
then wait till you find a tissue.,i couldn't wait. it was an emergency.
i couldn't wait. it was an emergency.,"oh, really? maybe you should have called 911."
"oh, really? maybe you should have called 911.",it wasn't that kind of emergency.
our tv remote is filthy.,"yes, it's covered with crud."
"yes, it's covered with crud.",i'm going to clean it.
i'm going to clean it.,don't use water on it!
don't use water on it!,i'll use a damp cloth.
i'll use a damp cloth.,don't let water get into any of the cracks.
don't let water get into any of the cracks.,i'll squeeze the cloth so it's almost dry.
i'll squeeze the cloth so it's almost dry.,don't rub the numbers off the remote.
don't rub the numbers off the remote.,i will rub gently but firmly.
i will rub gently but firmly.,"do it quickly, please, so i can change channels during commercials."
"do it quickly, please, so i can change channels during commercials.",i'll give it back to you in a couple of minutes.
i'll give it back to you in a couple of minutes.,maybe we should put it in a plastic bag to keep it clean.
my ear is killing me.,what's the matter?
what's the matter?,i was on a plane.
i was on a plane.,so?
so?,"so, every time the plane goes up, my ear starts to hurt."
"so, every time the plane goes up, my ear starts to hurt.",that's no good.
that's no good.,"sometimes the pain goes away, and sometimes it doesn't."
"sometimes the pain goes away, and sometimes it doesn't.",have you seen a doctor?
have you seen a doctor?,i've been to two doctors.
i've been to two doctors.,and they couldn't fix your problem?
and they couldn't fix your problem?,they both said i have to live with it.
they both said i have to live with it.,or you can stay off planes.
did you see the woman with the new face?,did she get a nice job?
did she get a nice job?,"she got an ""everything"" job!"
"she got an ""everything"" job!",what do you mean?
what do you mean?,a team of doctors gave her a whole new face.
a team of doctors gave her a whole new face.,why did they do that?
why did they do that?,a mad dog bit most of her face off.
a mad dog bit most of her face off.,"oh, that's terrible. what does she look like now?"
"oh, that's terrible. what does she look like now?","her face is really fat, but they say the swelling will go down."
"her face is really fat, but they say the swelling will go down.",and then will she look normal again?
and then will she look normal again?,i guess so.
i guess so.,god bless modern medicine.
there's something wrong with my right hand.,what's wrong with it?
what's wrong with it?,it aches most of the time.
it aches most of the time.,what do you think it is?
what do you think it is?,i don't know. i think it's old age.
i don't know. i think it's old age.,"if it's old age, why don't both of your hands hurt?"
"if it's old age, why don't both of your hands hurt?",that's a good question. maybe it's not old age.
that's a good question. maybe it's not old age.,are you right-handed?
are you right-handed?,yes. all my life.
yes. all my life.,you're wearing out your right hand. stop using it so much.
you're wearing out your right hand. stop using it so much.,but i do all my writing with my right hand.
but i do all my writing with my right hand.,start typing instead. that way your left hand will do half the work.
