Question,Answer
"yes, there is.",i feel safe here.
i feel safe here.,there is no crime here.
there is no crime here.,i wish i could move here.
i wish i could move here.,"maybe you can, if someone moves out."
the house burned down.,what happened?
what happened?,the man fell asleep.
the man fell asleep.,was he smoking?
was he smoking?,"yes, he was smoking a cigarette."
"yes, he was smoking a cigarette.",did he die?
did he die?,"yes, he did. his cat died, too."
"yes, he did. his cat died, too.",that's too bad. what about his smoke alarm?
that's too bad. what about his smoke alarm?,the battery was dead.
the battery was dead.,a good battery would have saved his life.
a good battery would have saved his life.,"he had cigarettes, but no battery."
"he had cigarettes, but no battery.",it happens all the time.
they say he has started fifteen big fires.,he's been in jail three times already.
he's been in jail three times already.,why did they ever let him out?
why did they ever let him out?,it's the law. they can't keep him in jail forever.
it's the law. they can't keep him in jail forever.,why not? everyone knows he's a firebug. he loves to start fires.
why not? everyone knows he's a firebug. he loves to start fires.,i don't know. sometimes the law doesn't make sense.
i don't know. sometimes the law doesn't make sense.,but his latest fire killed someone.
but his latest fire killed someone.,this time they have charged him with murder.
this time they have charged him with murder.,so maybe he'll go to jail forever?
so maybe he'll go to jail forever?,i sure hope so.
i sure hope so.,someone should set him on fire.
someone should set him on fire.,that would teach him a good lesson.
put your seatbelt on.,why?
why?,because it will protect you in case of an accident.
because it will protect you in case of an accident.,but it's uncomfortable.
but it's uncomfortable.,it's the law.
it's the law.,it's so much trouble.
it's so much trouble.,it's common sense.
it's common sense.,it's so tight that it's hard for me to breathe.
it's so tight that it's hard for me to breathe.,hold your breath till we get there.
hold your breath till we get there.,"okay, my seatbelt is on."
"okay, my seatbelt is on.",i'm glad you don't complain very much.
i'm glad you don't complain very much.,i'm ready for an accident.
what are you doing?,i'm going to change the light bulb. it burnt out.
i'm going to change the light bulb. it burnt out.,what are you standing on?
what are you standing on?,a couple of dictionaries and some textbooks.
a couple of dictionaries and some textbooks.,are you crazy?
are you crazy?,what's the matter?
what's the matter?,those books will slip and you'll fall.
those books will slip and you'll fall.,it's only a couple of feet.
it's only a couple of feet.,"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?"
"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",i never thought about that.
i never thought about that.,you'd be blind for the rest of your life!
you'd be blind for the rest of your life!,i'll get the stepladder.
did you see that puddle of water on the floor?,yes. i called for a clean-up.
yes. i called for a clean-up.,a puddle of water is very dangerous.
a puddle of water is very dangerous.,it isn't easy to see.
it isn't easy to see.,but it's real easy to slip on.
but it's real easy to slip on.,especially on these slick floors.
especially on these slick floors.,someone who slips could hurt their back.
someone who slips could hurt their back.,they could even crack their head open.
they could even crack their head open.,we should stand here till the clean-up person gets here.
we should stand here till the clean-up person gets here.,we can leave if we put an orange cone here.
we can leave if we put an orange cone here.,"yes, but i don't know where the orange cones are."
"yes, but i don't know where the orange cones are.",it doesn't matter. here he comes now with the mop.
what happens when the fire alarm rings?,we tell our students to leave the classroom.
we tell our students to leave the classroom.,can they take their belongings?
can they take their belongings?,"yes, if they do it quickly."
"yes, if they do it quickly.",where do the students go?
where do the students go?,they go out to the north parking lot.
they go out to the north parking lot.,what do the teachers do?
what do the teachers do?,we take our rosters to the parking lot and take roll.
we take our rosters to the parking lot and take roll.,why do you do that?
why do you do that?,we want to make sure all the students are out of the building.
we want to make sure all the students are out of the building.,"if they are all outside, then what?"
"if they are all outside, then what?",then we just wait outside for a fireman to tell us to go back in.
i have to go back upstairs.,why? we're already late.
why? we're already late.,i have to check the stove.
i have to check the stove.,what's the matter?
what's the matter?,maybe i left the burner on.
maybe i left the burner on.,"no, you didn't. i checked the stove before we left."
"no, you didn't. i checked the stove before we left.",are you sure?
are you sure?,of course i'm sure.
of course i'm sure.,"well, i have to go back upstairs anyway."
"well, i have to go back upstairs anyway.",it's getting later every minute.
it's getting later every minute.,i think i left the water running.
i think i left the water running.,"no, you didn't. let's go! the only thing running is the clock!"
the city is buying guns.,what are they paying?
what are they paying?,"up to $200 for each gun, no questions asked."
"up to $200 for each gun, no questions asked.",why are they doing this?
why are they doing this?,they want to get guns off the street.
they want to get guns off the street.,who would turn in a gun for $200?
who would turn in a gun for $200?,that isn't a good deal?
that isn't a good deal?,a good gun costs $400 or more.
a good gun costs $400 or more.,"well, if you bring your receipt, maybe they'll give you $400."
"well, if you bring your receipt, maybe they'll give you $400.",i'll keep my receipt and my gun.
i'll keep my receipt and my gun.,i didn't know you had a gun.
i didn't know you had a gun.,everyone in america should have a gun.
you're yawning.,i sure am.
i sure am.,you should go to bed.
you should go to bed.,i will as soon as i finish this article.
i will as soon as i finish this article.,what are you reading?
what are you reading?,it's about crime in los angeles.
it's about crime in los angeles.,what does it say?
what does it say?,the mayor says the crime rate is going down.
the mayor says the crime rate is going down.,then why does everyone lock their doors?
then why does everyone lock their doors?,i guess they haven't read this article.
i guess they haven't read this article.,no one believes that the crime rate is going down.
no one believes that the crime rate is going down.,maybe the mayor is just talking about his own neighborhood.
people who live in california are crazy.,why is that?
why is that?,because of all the earthquakes and fires.
because of all the earthquakes and fires.,but big earthquakes happen only once in a while.
but big earthquakes happen only once in a while.,once in a while is once too many.
once in a while is once too many.,but you're right. there are a lot of fires.
but you're right. there are a lot of fires.,a recent fire destroyed 85 homes.
a recent fire destroyed 85 homes.,"still, it's safer than florida."
"still, it's safer than florida.",florida doesn't have earthquakes or fires.
florida doesn't have earthquakes or fires.,"no, florida just has hurricanes every year from june to october."
"no, florida just has hurricanes every year from june to october.",but most of those hurricanes are harmless.
but most of those hurricanes are harmless.,"excuse me. hurricane andrew destroyed 30,000 homes!"
i went to hawaii on vacation.,did you like it?
did you like it?,i loved it. i want to live there.
i loved it. i want to live there.,what did you like?
what did you like?,"the island is so green, and the water is so blue."
"the island is so green, and the water is so blue.",did you go swimming?
did you go swimming?,i went to the beach every day.
i went to the beach every day.,how was the weather?
how was the weather?,it was hot and sunny every day.
it was hot and sunny every day.,what did you do at night?
what did you do at night?,at night i went out to eat. the food was delicious.
at night i went out to eat. the food was delicious.,people who live in hawaii are lucky.
i like this hotel.,what do you like about it?
what do you like about it?,we get a free breakfast.
we get a free breakfast.,coffee and a roll?
coffee and a roll?,"no, a real breakfast."
"no, a real breakfast.",bacon and eggs?
bacon and eggs?,"with toast, ham, sausage, fresh fruit, and juice."
"with toast, ham, sausage, fresh fruit, and juice.",wow! that is nice. let's stay for two nights.
wow! that is nice. let's stay for two nights.,"and the rooms are clean, too."
"and the rooms are clean, too.",do they allow pets?
do they allow pets?,"no pets, no smoking."
"no pets, no smoking.",i like that. let's stay three nights.
i'm not sleeping here tonight.,what's the matter? this is a nice room.
what's the matter? this is a nice room.,"maybe the room is nice, but not the bed."
"maybe the room is nice, but not the bed.",what's wrong with the bed?
what's wrong with the bed?,look at this sheet.
look at this sheet.,yes?
yes?,see those stains?
see those stains?,i sure do.
i sure do.,i'm not sleeping on that sheet.
i'm not sleeping on that sheet.,"well, just call the front desk. they'll give us new sheets."
"well, just call the front desk. they'll give us new sheets.",i want sheets without stains on them.
i want sheets without stains on them.,"from now on, let's bring our own sheets."
what time does your plane leave?,it leaves at 12:15.
it leaves at 12:15.,when do you have to be at the airport?
when do you have to be at the airport?,i have to be there two hours early.
i have to be there two hours early.,so we have to be at the airport at 10:15.
so we have to be at the airport at 10:15.,that means we have to leave the house at 9:15.
that means we have to leave the house at 9:15.,"well, it's an hour to get there, if there are no traffic problems."
"well, it's an hour to get there, if there are no traffic problems.",so maybe we better leave at 8:15?
so maybe we better leave at 8:15?,"yes, it's better to get there too early than too late."
"yes, it's better to get there too early than too late.",i agree.
i agree.,you never know what might happen on these freeways.
you never know what might happen on these freeways.,there's at least one huge accident every day.
i need to fly to new york.,when are you going?
when are you going?,during the christmas holidays.
during the christmas holidays.,you'd better buy your ticket now.
you'd better buy your ticket now.,you must be kidding.
you must be kidding.,"no, i'm not. it's march. time is running out. seats are selling out right now."
"no, i'm not. it's march. time is running out. seats are selling out right now.",i thought i would wait until october.
i thought i would wait until october.,i'll bet this is the first time you've ever flown during christmas.
i'll bet this is the first time you've ever flown during christmas.,you're right.
you're right.,"well, listen to me. you need to buy a ticket now."
"well, listen to me. you need to buy a ticket now.",but maybe prices will be cheaper in october.
but maybe prices will be cheaper in october.,cheaper prices won't do you any good if there are no seats.
i hate flying.,so do i.
so do i.,"a long time ago, flying used to be okay."
"a long time ago, flying used to be okay.",now it's like riding a bus.
now it's like riding a bus.,you're jammed in with people all around you.
you're jammed in with people all around you.,"half of them are coughing, and the other half are sneezing."
"half of them are coughing, and the other half are sneezing.",you don't have any elbow room or knee room.
you don't have any elbow room or knee room.,people are always getting up to use the bathroom.
people are always getting up to use the bathroom.,kids are crying or climbing over you.
kids are crying or climbing over you.,it's a flying zoo!
it's a flying zoo!,i wish i could afford first class seats.
i wish i could afford first class seats.,doesn't everybody?
some guy rowed across the atlantic ocean.,good for him.
good for him.,why would he do that?
why would he do that?,did he set a new record?
did he set a new record?,"yes, i think he did."
"yes, i think he did.","well, i guess that's why he did it."
"well, i guess that's why he did it.",what's the point?
what's the point?,now he has the world record!
now he has the world record!,"but someone's going to break it, so what good is it?"
"but someone's going to break it, so what good is it?","well, he can enjoy it while it lasts."
"well, he can enjoy it while it lasts.",i don't think he even got paid for it.
i don't think he even got paid for it.,some people do it just to do it.
i want to go on a cruise ship.,that sounds like fun. where do you want to go?
that sounds like fun. where do you want to go?,i want to cruise to hawaii.
i want to cruise to hawaii.,"that should be a nice trip. lots of fun, and lots of food."
"that should be a nice trip. lots of fun, and lots of food.",i have no idea how much it will cost.
i have no idea how much it will cost.,i think it depends on the season and on your cabin.
i think it depends on the season and on your cabin.,"well, of course i want to go when the weather is nice."
"well, of course i want to go when the weather is nice.","yes, you don't want to travel in winter storms."
"yes, you don't want to travel in winter storms.",and i want to get a big cabin with a view.
and i want to get a big cabin with a view.,are you going to travel alone?
are you going to travel alone?,"no, my sister and i will travel together."
"no, my sister and i will travel together.","well, you should go online and try to find a good deal."
i hate to fly.,because of all the security?
because of all the security?,"no, because it hurts my ears."
"no, because it hurts my ears.",what do you mean?
what do you mean?,"every time we land or take off, my ears hurt so much."
"every time we land or take off, my ears hurt so much.","that's just the altitude change, i think."
"that's just the altitude change, i think.","whatever it is, it hurts."
"whatever it is, it hurts.",can't you take medicine or something for it?
can't you take medicine or something for it?,"i've tried everything, but nothing works."
"i've tried everything, but nothing works.",have you tried earplugs?
have you tried earplugs?,"they don't work, either."
"they don't work, either.","well, be glad you're not a pilot."
spring break starts tomorrow.,are you going to go anywhere?
are you going to go anywhere?,i was thinking of driving to arizona.
i was thinking of driving to arizona.,to the grand canyon?
to the grand canyon?,yes. i've never been there.
yes. i've never been there.,i was there when i was a kid.
i was there when i was a kid.,how did you like it?
how did you like it?,i loved it. i still remember how amazing it was.
i loved it. i still remember how amazing it was.,"i'm sure i'll like it, too."
"i'm sure i'll like it, too.",you should try riding a mule on a trail to the bottom.
you should try riding a mule on a trail to the bottom.,no way! i don't want to fall to my death.
no way! i don't want to fall to my death.,don't worry. only one person has ever fallen off a mule.
that hotel was terrible.,the worst in the whole world.
the worst in the whole world.,the walls were so thin.
the walls were so thin.,all day long we heard tvs or telephones.
all day long we heard tvs or telephones.,all night long we heard people snoring.
all night long we heard people snoring.,housekeeping didn't give us fresh towels.
housekeeping didn't give us fresh towels.,room service brought us a cold dinner.
room service brought us a cold dinner.,our nonsmoking room stunk of cigarette smoke.
our nonsmoking room stunk of cigarette smoke.,our room was right next to the elevator and the ice machine.
our room was right next to the elevator and the ice machine.,they added phony charges to our bill.
they added phony charges to our bill.,how did we end up in that terrible hotel?
how did we end up in that terrible hotel?,the travel agent gave us a 50-percent discount!
i have to hang up. i'm so sleepy.,it's not even 10 o'clock.
it's not even 10 o'clock.,i'm falling asleep on the phone.
i'm falling asleep on the phone.,you got up real early.
you got up real early.,i had to take my friend to the airport.
i had to take my friend to the airport.,why didn't you take a nap when you got home?
why didn't you take a nap when you got home?,i didn't get home until 30 minutes ago.
i didn't get home until 30 minutes ago.,why is that?
why is that?,there was a bomb threat at the airport.
there was a bomb threat at the airport.,only a threat?
only a threat?,"yes, but i was stuck there all day while they looked for the bomb."
"yes, but i was stuck there all day while they looked for the bomb.",someday the bomb is going to be for real.
"my dad went to washington, d.c.",why did he do that?
why did he do that?,"he was invited, along with about 90 other veterans."
"he was invited, along with about 90 other veterans.",who invited them?
who invited them?,some private organization.
some private organization.,why did they invite him?
why did they invite him?,to thank him and all the other soldiers who served in world war ii.
to thank him and all the other soldiers who served in world war ii.,that's very nice.
that's very nice.,my dad got to see the beautiful new world war ii monument.
my dad got to see the beautiful new world war ii monument.,that trip must have cost a lot of money.
that trip must have cost a lot of money.,he said all the money came from private donations.
"that was a great trip to washington, d.c.","tell me about it, dad."
"tell me about it, dad.",about 90 of us world war ii veterans got on the plane at 8 a.m.
about 90 of us world war ii veterans got on the plane at 8 a.m.,how long was the flight?
how long was the flight?,it only took about two hours.
it only took about two hours.,did you take pictures at the world war ii monument?
did you take pictures at the world war ii monument?,"oh, yes. we all took lots of pictures."
"oh, yes. we all took lots of pictures.",then you flew back home that evening?
then you flew back home that evening?,"yes. when we landed, tv reporters and the army band were there."
"yes. when we landed, tv reporters and the army band were there.",that must have made you feel really special.
that must have made you feel really special.,"oh, it did. there were about 300 people there to honor us."
"oh, it did. there were about 300 people there to honor us.","well, you all deserve it. you helped save our country."
i need a job.,i thought you had a job.
i thought you had a job.,i did.
i did.,what happened?
what happened?,i got laid off.
i got laid off.,that's terrible! when did it happen?
that's terrible! when did it happen?,i got laid off last week.
i got laid off last week.,just you?
just you?,"no, ten of my coworkers got laid off, too."
"no, ten of my coworkers got laid off, too.",what are you going to do?
what are you going to do?,i'm looking in the newspaper for a job.
i'm looking in the newspaper for a job.,good luck!
"before you go to that interview, check yourself.",what's to check?
what's to check?,are your nails clean?
are your nails clean?,"yes, they are."
"yes, they are.",did you double-check your nose and teeth?
did you double-check your nose and teeth?,"they are clean, too."
"they are clean, too.",did you shine your shoes?
did you shine your shoes?,my shoes are shined.
my shoes are shined.,do your socks match?
do your socks match?,of course they match.
of course they match.,"no, they don't. one is black and one is dark blue."
"no, they don't. one is black and one is dark blue.",yikes! thank you.
life is hard.,it sure is.
it sure is.,i thought school was hard.
i thought school was hard.,"me, too. i couldn't wait to graduate."
"me, too. i couldn't wait to graduate.","but now work is hard, too."
"but now work is hard, too.",i agree. work is just as hard as school.
i agree. work is just as hard as school.,sometimes i wish i was back in school.
sometimes i wish i was back in school.,"me, too. school was fun."
"me, too. school was fun.",and it was only 12 years.
and it was only 12 years.,it went by pretty fast.
it went by pretty fast.,but work goes on forever!
but work goes on forever!,we have to work for 30 years!
i'm sleepy.,so am i.
so am i.,i had a long day.
i had a long day.,so did i.
so did i.,i didn't even have lunch.
i didn't even have lunch.,neither did i.
neither did i.,i was busy the whole day.
i was busy the whole day.,so was i.
so was i.,i had to bring work home with me.
i had to bring work home with me.,i did too.
i did too.,your day was just like mine.
your day was just like mine.,of course it was. we work together!
i don't like my job.,what do you do?
what do you do?,i'm a babysitter.
i'm a babysitter.,is that a lot of work?
is that a lot of work?,babies cry all the time.
babies cry all the time.,you have to change their diapers.
you have to change their diapers.,i have to feed them.
i have to feed them.,are you looking for another job?
are you looking for another job?,"no, i'm looking for another family."
"no, i'm looking for another family.",another family?
another family?,a family with only one baby.
a family with only one baby.,that's a good idea.
i need a job.,what was your last job?
what was your last job?,i was a painter.
i was a painter.,what happened?
what happened?,i got laid off because there was no work.
i got laid off because there was no work.,what else can you do?
what else can you do?,i'm a handyman.
i'm a handyman.,can you fix a dripping faucet in a kitchen sink?
can you fix a dripping faucet in a kitchen sink?,of course.
of course.,then i have a job for you in my kitchen.
then i have a job for you in my kitchen.,it will cost you only $20 plus parts.
it will cost you only $20 plus parts.,okay. that sounds like a fair price.
what would you do if you lost your job?,i have no idea. i've been here for 20 years.
i have no idea. i've been here for 20 years.,do you have any other skills?
do you have any other skills?,"well, i know how to flip hamburgers."
"well, i know how to flip hamburgers.",no one would hire you to flip hamburgers.
no one would hire you to flip hamburgers.,have you heard something that you're not telling me?
have you heard something that you're not telling me?,what do you mean?
what do you mean?,are there going to be layoffs at this place?
are there going to be layoffs at this place?,i certainly hope not!
i certainly hope not!,"if you got laid off, you'd be flipping hamburgers, too."
"if you got laid off, you'd be flipping hamburgers, too.","oh great, we could both work at burger king."
"oh great, we could both work at burger king.","maybe we'd get laid off there, too."
do your students ever talk about their jobs?,"yes, and they ask me what jobs are the best."
"yes, and they ask me what jobs are the best.",i tell my students to become a teacher.
i tell my students to become a teacher.,teaching is a great job.
teaching is a great job.,it's the best job i've ever had.
it's the best job i've ever had.,what makes it so good?
what makes it so good?,"for me, it's the students."
"for me, it's the students.",what do you mean?
what do you mean?,i mean i have wonderful students.
i mean i have wonderful students.,that must be nice.
that must be nice.,teaching is the best part of my whole day.
teaching is the best part of my whole day.,you're a lucky man to have a job you love.
"boy, i'm glad that job is finished.",how long did it take?
how long did it take?,"four hours, without a break."
"four hours, without a break.",it's always nice to finish a job.
it's always nice to finish a job.,"well, it's good and bad."
"well, it's good and bad.",what's bad about it?
what's bad about it?,"when you finish, all you do is start another job!"
"when you finish, all you do is start another job!","yes, that's right. it does get boring."
"yes, that's right. it does get boring.","especially if it's the same work, over and over."
"especially if it's the same work, over and over.",but that's what most people do.
but that's what most people do.,"yes, i guess most of us are stuck in a routine."
"yes, i guess most of us are stuck in a routine.",i wonder if there is any job that you don't repeat over and over.
i think i have the worst boss in the world.,what makes him so bad?
what makes him so bad?,he's rude and he yells a lot.
he's rude and he yells a lot.,that's hard to take.
that's hard to take.,i've never heard him say please or thank you.
i've never heard him say please or thank you.,he sounds like a real jerk.
he sounds like a real jerk.,no one at work likes him.
no one at work likes him.,can't you report him to his supervisor?
can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
"of course not. if i do that, i'll lose my job.","yes, they don't like troublemakers or complainers."
"yes, they don't like troublemakers or complainers.","i can't quit, because i'm making a good salary."
"i can't quit, because i'm making a good salary.",you shouldn't choose money over happiness.
what are we going to do?,about what?
about what?,about finding a job for me.
about finding a job for me.,you don't need a job. i make enough money for both of us.
you don't need a job. i make enough money for both of us.,that doesn't matter. i don't want to sit around.
that doesn't matter. i don't want to sit around.,"okay, what kind of job do you want?"
"okay, what kind of job do you want?",i'm not sure.
i'm not sure.,"well, you should do something that you enjoy."
"well, you should do something that you enjoy.",i enjoy selling. i was born to sell.
i enjoy selling. i was born to sell.,"okay, what do you want to sell?"
"okay, what do you want to sell?",cigarette lighters. i'll make a fortune.
cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!
a new hotel is looking for workers.,"yes, i saw it on the tv news."
"yes, i saw it on the tv news.",they need 300 new workers.
they need 300 new workers.,"and 4,000 people showed up."
"and 4,000 people showed up.",so many people are out of work.
so many people are out of work.,"i still have my job, thank goodness."
"i still have my job, thank goodness.","so do i, but i'm worried."
"so do i, but i'm worried.",me too. there are no guarantees.
me too. there are no guarantees.,"if you lose your job, you can move in with me."
"if you lose your job, you can move in with me.","oh, thank you. that's very nice of you."
"oh, thank you. that's very nice of you.",you would do the same for me.
you would do the same for me.,of course. what are friends for?
i think i did something real stupid.,what did you do?
what did you do?,i bought some stock.
i bought some stock.,everybody buys stock.
everybody buys stock.,i bought it on a hunch.
i bought it on a hunch.,you didn't read about the company first?
you didn't read about the company first?,i didn't have to. it's been in business for 60 years.
i didn't have to. it's been in business for 60 years.,so what's the problem?
so what's the problem?,i used all my savings on this one company.
i used all my savings on this one company.,you put all your eggs into one basket.
you put all your eggs into one basket.,"if the company goes out of business, i'll have nothing."
"if the company goes out of business, i'll have nothing.","oh, you'll have somethingyou'll have a lesson you'll never forget!"
i was going to be a doctor.,what happened to your plans?
